CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_SEX,VIC_AGE_GROUP,VIC_RACE,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,JURISDICTION_CODE,HOUSING_PSA
4052648005,2022-04-11,20:46:07,2021-06-21,12:33:40,2023-06-19,165,Fraud,524,Fraud,COMPLETED,VIOLATION,Maharashtra Police,Maharashtra,36,Inside,Commercial,,,569086,811177,69.5168045,-68.393846,"-68.6308155, 81.506679",Maharashtra Zone,Mumbai Police Station,F,65+,Other Asian,45-64,White,M,3,17,107
3759595303,2024-09-19,00:54:54,2020-01-23,03:56:18,2021-07-03,853,Drug Trafficking,361,Kidnapping,COMPLETED,MISDEMEANOR,Uttar Pradesh Police,Uttar Pradesh,74,Outside,Public Transport,Noida,,842700,922614,-66.2027575,-100.045883,"67.6256075, 1.648968",Uttar Pradesh Zone,Noida Police Station,F,<18,White,45-64,Indian,M,14,8,27
7411315003,2022-06-12,22:16:11,2020-06-03,15:26:48,2021-09-09,644,Drug Trafficking,990,Vehicle Theft,ATTEMPTED,VIOLATION,Karnataka Police,Karnataka,63,Outside,Commercial,,,932906,916531,-53.6533185,-0.772674,"-14.4032165, -151.499673",Karnataka Zone,Bangalore Police Station,F,45-64,Black,<18,White,F,2,16,113
4847081396,2020-04-04,09:19:06,2023-02-15,03:09:53,2021-06-08,246,Dowry Death,420,Dowry Death,ATTEMPTED,MISDEMEANOR,Bihar Police,Bihar,4,Outside,Street,,,720862,778133,16.5849455,-100.478192,"70.662598, -135.045659",Bihar Zone,Gaya Police Station,F,45-64,Indian,65+,Indian,M,22,1,91
1960432562,2022-11-04,02:01:15,2024-07-08,11:55:19,2024-04-08,703,Fraud,343,Theft,ATTEMPTED,FELONY,Maharashtra Police,Maharashtra,78,Inside,Park,Mumbai,,634042,893693,-68.701455,-93.721915,"-60.764816, 78.603245",Maharashtra Zone,Mumbai Police Station,F,65+,White,<18,White,F,10,5,42
6583197495,2022-01-25,01:10:48,2020-03-01,03:12:45,2023-12-09,304,Vehicle Theft,265,Assault,COMPLETED,FELONY,Karnataka Police,Karnataka,38,Inside,Public Transport,,,598369,667211,16.391554,12.904235,"-41.872484, -10.607309",Karnataka Zone,Hubli Police Station,M,25-44,Indian,45-64,Indian,M,14,8,69
1655926869,2020-04-08,07:16:26,2021-06-24,12:37:37,2021-04-06,550,Kidnapping,365,Domestic Violence,COMPLETED,MISDEMEANOR,Maharashtra Police,Maharashtra,59,Inside,Street,,,972156,586870,-81.662470,58.636608,"-15.140816, 24.516853",Maharashtra Zone,Nagpur Police Station,F,45-64,Indian,45-64,Indian,F,1,2,75
575280905,2020-06-03,13:16:39,2023-09-09,01:17:59,2024-07-01,159,Theft,523,Dowry Death,COMPLETED,VIOLATION,Delhi Police,Delhi,1,Inside,Park,Dwarka,,761647,625560,44.156457,-141.768893,"-55.576735, 107.807615",Delhi Zone,Dwarka Police Station,M,65+,Black,65+,Black,F,11,8,138
8394357878,2020-05-01,05:01:12,2020-11-08,16:27:59,2020-03-28,654,Domestic Violence,323,Assault,COMPLETED,MISDEMEANOR,Rajasthan Police,Rajasthan,72,Outside,Residence,,,709226,967975,-81.3520415,-144.233882,"-18.3828035, -42.617225",Rajasthan Zone,Udaipur Police Station,M,65+,Black,18-24,Black,F,12,3,152
4203388188,2022-10-19,10:04:07,2022-07-24,04:34:40,2021-09-01,979,Cyber Crime,468,Theft,COMPLETED,VIOLATION,West Bengal Police,West Bengal,13,Inside,Public Transport,,,799449,627757,-44.790755,-103.483355,"48.3036565, 134.554910",West Bengal Zone,Howrah Police Station,M,18-24,Black,25-44,White,M,22,13,162
9544927900,2023-04-08,19:02:34,2020-08-31,15:58:51,2020-01-20,610,Kidnapping,628,Domestic Violence,COMPLETED,VIOLATION,Karnataka Police,Karnataka,76,Inside,Public Transport,Bangalore,,522982,980104,-69.480185,-176.677369,"-62.6110755, 44.261293",Karnataka Zone,Bangalore Police Station,F,25-44,White,18-24,Black,M,7,17,49
7814945220,2022-07-12,18:39:38,2021-12-28,16:32:06,2022-09-20,397,Theft,393,Assault,ATTEMPTED,VIOLATION,Punjab Police,Punjab,54,Outside,Street,,,531536,765786,33.919039,-27.968405,"-86.1835915, -57.329009",Punjab Zone,Ludhiana Police Station,F,25-44,White,18-24,Other Asian,F,15,6,160
5344441402,2023-02-05,19:14:11,2021-12-08,10:10:08,2023-10-28,662,Kidnapping,304,Cyber Crime,ATTEMPTED,VIOLATION,Tamil Nadu Police,Tamil Nadu,58,Outside,Park,,,941610,711359,84.0783165,-104.001419,"-13.771593, -34.795410",Tamil Nadu Zone,Coimbatore Police Station,F,45-64,White,<18,Indian,M,25,2,109
4776327273,2023-05-16,10:36:34,2021-09-07,02:49:38,2024-06-19,525,Theft,278,Dowry Death,ATTEMPTED,FELONY,West Bengal Police,West Bengal,56,Inside,Street,,,879363,657759,-46.165397,88.732057,"41.106615, 58.360846",West Bengal Zone,Howrah Police Station,M,18-24,Black,18-24,Indian,M,15,6,127
4337847852,2023-12-16,11:42:09,2020-02-26,00:49:04,2020-02-22,118,Kidnapping,966,Vehicle Theft,COMPLETED,MISDEMEANOR,Karnataka Police,Karnataka,8,Inside,Public Transport,Bangalore,,682273,818727,47.2774465,107.346461,"-33.594327, 37.846394",Karnataka Zone,Bangalore Police Station,F,45-64,White,65+,Other Asian,M,8,3,144
1085510703,2022-12-09,15:06:50,2021-09-29,22:36:43,2024-02-06,859,Cyber Crime,147,Cyber Crime,ATTEMPTED,FELONY,Uttar Pradesh Police,Uttar Pradesh,5,Outside,Street,,,723040,665349,-65.9746425,-27.609099,"50.265450, 51.728440",Uttar Pradesh Zone,Kanpur Police Station,F,25-44,Indian,65+,Black,M,15,3,50
1258942021,2021-09-11,23:22:53,2022-08-10,13:28:37,2022-01-22,207,Vehicle Theft,198,Drug Trafficking,COMPLETED,FELONY,Gujarat Police,Gujarat,85,Inside,Commercial,,,967899,534122,37.1937555,-63.414921,"-15.6464735, -111.746548",Gujarat Zone,Vadodara Police Station,M,65+,White,<18,Other Asian,M,15,1,88
4731919199,2020-09-08,22:26:51,2023-08-01,10:44:30,2020-06-19,526,Kidnapping,797,Murder,COMPLETED,FELONY,Rajasthan Police,Rajasthan,26,Outside,Public Transport,Jodhpur,,855535,725149,-12.1478245,78.768948,"-65.5657825, 3.969797",Rajasthan Zone,Jodhpur Police Station,F,45-64,Other Asian,18-24,White,M,18,18,23
3697866813,2020-03-19,20:02:24,2020-08-03,05:21:13,2024-01-04,901,Drug Trafficking,647,Fraud,COMPLETED,MISDEMEANOR,Uttar Pradesh Police,Uttar Pradesh,85,Outside,Park,,,684265,575046,-81.2626715,119.988382,"-44.200780, 166.069844",Uttar Pradesh Zone,Lucknow Police Station,M,25-44,Other Asian,45-64,Black,F,18,11,21
5114193213,2024-08-31,10:08:43,2020-05-13,17:44:32,2022-09-03,593,Theft,641,Assault,COMPLETED,VIOLATION,Rajasthan Police,Rajasthan,40,Outside,Street,,,733326,729030,-48.838260,129.550820,"-28.639386, 112.849205",Rajasthan Zone,Udaipur Police Station,M,<18,Indian,<18,White,M,4,4,120
4938938560,2022-07-11,01:47:01,2021-07-10,20:46:49,2021-08-03,489,Murder,423,Dowry Death,COMPLETED,VIOLATION,Bihar Police,Bihar,100,Outside,Park,,,686589,828773,-24.153253,16.458614,"43.182425, 72.808202",Bihar Zone,Patna Police Station,F,25-44,Other Asian,25-44,Other Asian,F,5,6,45
4910623317,2022-10-25,06:19:14,2024-03-25,00:59:40,2020-05-27,703,Murder,735,Domestic Violence,COMPLETED,FELONY,Bihar Police,Bihar,93,Outside,Public Transport,,,929571,694203,40.5675875,-100.906795,"-42.793636, -72.722332",Bihar Zone,Bhagalpur Police Station,M,25-44,Other Asian,<18,Indian,F,17,2,178
1441890332,2020-03-02,15:26:54,2022-11-26,04:01:43,2020-05-04,987,Murder,565,Assault,COMPLETED,VIOLATION,Gujarat Police,Gujarat,92,Inside,Commercial,,,824512,959766,55.3539165,162.013115,"79.0480085, 44.961410",Gujarat Zone,Surat Police Station,M,45-64,Black,65+,Other Asian,F,2,3,60
9142144490,2023-04-09,21:58:39,2023-08-19,12:10:57,2023-07-08,688,Dowry Death,280,Cyber Crime,ATTEMPTED,VIOLATION,Delhi Police,Delhi,86,Inside,Public Transport,New Delhi,,693861,577839,70.3825815,-95.329915,"-22.424007, -39.013949",Delhi Zone,New Delhi Police Station,M,<18,Black,<18,Black,F,7,6,129
7424332192,2020-02-05,04:23:31,2022-04-05,12:08:57,2024-01-21,530,Domestic Violence,367,Drug Trafficking,ATTEMPTED,VIOLATION,Tamil Nadu Police,Tamil Nadu,83,Inside,Street,,,621111,500587,73.2411735,145.261609,"-51.866510, 125.256919",Tamil Nadu Zone,Coimbatore Police Station,F,65+,Indian,18-24,White,M,6,16,133
1309092565,2024-01-18,01:33:53,2020-01-31,19:09:10,2020-03-15,581,Cyber Crime,457,Dowry Death,ATTEMPTED,FELONY,Rajasthan Police,Rajasthan,82,Outside,Residence,,,587656,835702,37.181375,5.600093,"-25.0586275, -42.790017",Rajasthan Zone,Jodhpur Police Station,F,45-64,Black,25-44,Indian,M,19,16,132
9069383427,2022-11-08,08:01:26,2021-11-01,12:45:47,2021-12-05,440,Vehicle Theft,464,Kidnapping,COMPLETED,VIOLATION,Rajasthan Police,Rajasthan,81,Inside,Public Transport,,,702459,937572,64.7955235,31.119625,"-22.1273325, 95.487611",Rajasthan Zone,Jaipur Police Station,F,<18,Indian,65+,White,F,21,1,161
8387125963,2024-02-01,01:50:22,2022-12-29,09:07:49,2022-03-15,243,Theft,212,Assault,ATTEMPTED,MISDEMEANOR,West Bengal Police,West Bengal,98,Outside,Residence,,,694700,948720,-4.871492,-31.052239,"70.109908, 40.743364",West Bengal Zone,Kolkata Police Station,F,25-44,Other Asian,65+,Black,M,9,6,160
7883389799,2021-07-16,19:17:15,2020-11-25,11:46:12,2022-03-10,312,Kidnapping,657,Cyber Crime,ATTEMPTED,FELONY,Maharashtra Police,Maharashtra,20,Outside,Park,,,617390,987576,41.169040,-142.306748,"-40.8446035, 132.364356",Maharashtra Zone,Nagpur Police Station,M,18-24,White,45-64,Indian,M,12,11,85
6817843809,2021-08-11,18:51:41,2024-03-06,06:54:15,2024-07-06,850,Cyber Crime,701,Theft,ATTEMPTED,VIOLATION,Delhi Police,Delhi,31,Outside,Park,New Delhi,,897345,754558,58.041188,-43.040109,"-50.8718065, 25.514711",Delhi Zone,New Delhi Police Station,M,65+,White,45-64,Black,M,16,19,117
2743302956,2023-09-23,12:36:02,2024-08-23,20:53:38,2023-10-23,706,Theft,702,Assault,COMPLETED,VIOLATION,Delhi Police,Delhi,83,Outside,Commercial,,,851064,760832,61.2534925,173.125933,"63.945751, 11.173732",Delhi Zone,Saket Police Station,F,18-24,Black,25-44,Indian,F,6,8,38
2419056953,2022-05-12,18:22:28,2022-08-18,19:15:54,2023-12-05,915,Assault,587,Cyber Crime,ATTEMPTED,VIOLATION,Gujarat Police,Gujarat,3,Outside,Commercial,,,900775,753653,11.851410,-146.656234,"-65.563538, 1.106328",Gujarat Zone,Surat Police Station,M,18-24,Other Asian,25-44,White,M,21,3,52
7787535628,2020-10-05,03:41:21,2022-08-08,14:12:22,2023-05-04,256,Fraud,558,Dowry Death,COMPLETED,FELONY,Bihar Police,Bihar,70,Outside,Residence,,,617513,626731,56.610200,125.082354,"-65.9446515, -111.969744",Bihar Zone,Bhagalpur Police Station,F,45-64,White,<18,Other Asian,F,12,18,186
5446083166,2021-02-03,18:09:55,2024-09-05,10:47:05,2022-04-09,492,Assault,657,Cyber Crime,ATTEMPTED,VIOLATION,Bihar Police,Bihar,59,Inside,Park,,,982312,989868,-65.487608,-84.714185,"2.2853755, 51.388710",Bihar Zone,Patna Police Station,M,25-44,Other Asian,25-44,Other Asian,M,19,12,44
8480449094,2023-10-09,07:34:35,2022-07-04,14:41:59,2021-12-07,564,Vehicle Theft,300,Fraud,ATTEMPTED,FELONY,Rajasthan Police,Rajasthan,13,Inside,Street,,,833547,542385,-22.055214,166.582740,"1.501824, -168.627206",Rajasthan Zone,Jaipur Police Station,F,18-24,Other Asian,65+,Indian,M,3,3,44
8297287165,2024-07-12,14:19:01,2021-05-16,19:49:28,2022-03-05,634,Fraud,843,Assault,ATTEMPTED,FELONY,Punjab Police,Punjab,66,Outside,Park,,,828794,746461,-68.463333,29.182814,"-26.0850345, 126.870070",Punjab Zone,Ludhiana Police Station,M,18-24,Black,18-24,Indian,F,15,5,70
6438451672,2022-06-28,13:47:44,2024-06-16,20:47:43,2023-07-06,369,Murder,305,Cyber Crime,ATTEMPTED,FELONY,Tamil Nadu Police,Tamil Nadu,94,Inside,Park,,,514210,604657,-40.7098515,28.743681,"20.609351, -130.336389",Tamil Nadu Zone,Chennai Police Station,F,18-24,Indian,<18,Indian,M,25,12,158
6034332870,2021-11-05,22:37:30,2021-02-16,04:15:53,2022-10-06,930,Fraud,569,Theft,ATTEMPTED,MISDEMEANOR,Delhi Police,Delhi,77,Inside,Residence,,,929887,901915,-58.3225705,148.796172,"-78.728258, 121.903498",Delhi Zone,Saket Police Station,M,<18,White,45-64,Indian,F,5,6,59
7462693734,2022-05-30,00:38:37,2024-10-17,08:06:00,2024-01-09,446,Cyber Crime,734,Dowry Death,COMPLETED,VIOLATION,Karnataka Police,Karnataka,24,Outside,Public Transport,,,748886,772573,85.670409,176.230166,"-46.350837, 30.369636",Karnataka Zone,Bangalore Police Station,M,65+,White,65+,White,M,9,4,59
6824241383,2023-12-17,11:07:30,2020-08-11,16:39:54,2021-12-15,417,Domestic Violence,809,Murder,ATTEMPTED,VIOLATION,Rajasthan Police,Rajasthan,59,Inside,Public Transport,Jaipur,,751870,879329,50.501603,151.682017,"23.7777395, 8.134192",Rajasthan Zone,Jaipur Police Station,M,45-64,Indian,25-44,White,M,25,13,53
4117654702,2022-10-24,01:17:49,2024-01-26,16:46:35,2021-12-12,127,Drug Trafficking,474,Dowry Death,ATTEMPTED,MISDEMEANOR,Uttar Pradesh Police,Uttar Pradesh,93,Outside,Street,,,542964,922465,60.837386,-56.228397,"-26.076575, -167.033253",Uttar Pradesh Zone,Kanpur Police Station,M,25-44,Indian,65+,Black,F,18,4,136
4803659109,2024-06-10,02:15:10,2020-02-17,16:33:28,2024-04-11,115,Cyber Crime,164,Domestic Violence,COMPLETED,VIOLATION,West Bengal Police,West Bengal,74,Outside,Park,Kolkata,,669062,508793,15.352478,48.226575,"-68.0291805, 168.877585",West Bengal Zone,Kolkata Police Station,F,65+,Indian,45-64,White,M,3,15,117
8721696774,2020-08-30,21:51:15,2020-05-10,19:49:45,2023-10-25,433,Assault,163,Vehicle Theft,COMPLETED,MISDEMEANOR,Rajasthan Police,Rajasthan,47,Inside,Park,,,682662,733487,-39.7467895,127.113652,"-31.090844, -132.709836",Rajasthan Zone,Udaipur Police Station,F,18-24,White,65+,White,M,13,11,5
4431042348,2023-02-26,23:19:34,2022-05-14,00:39:12,2021-01-01,157,Fraud,253,Assault,COMPLETED,VIOLATION,Rajasthan Police,Rajasthan,18,Inside,Street,,,838341,694374,72.2508235,-96.123414,"-8.842639, 40.682543",Rajasthan Zone,Jaipur Police Station,M,45-64,Indian,65+,Other Asian,M,2,3,41
5717180179,2023-09-10,02:22:06,2020-03-26,03:29:41,2020-06-28,884,Kidnapping,357,Cyber Crime,COMPLETED,FELONY,Bihar Police,Bihar,43,Inside,Commercial,Patna,,640293,500295,48.0869105,-131.392449,"63.4457515, -24.558935",Bihar Zone,Patna Police Station,F,18-24,White,25-44,Other Asian,F,17,9,162
790457261,2020-11-11,15:22:21,2024-09-28,18:31:32,2023-05-13,730,Kidnapping,217,Kidnapping,ATTEMPTED,FELONY,Gujarat Police,Gujarat,79,Outside,Public Transport,,,945154,707331,-69.1256755,-91.467917,"62.090450, 128.047044",Gujarat Zone,Ahmedabad Police Station,M,25-44,Indian,<18,Other Asian,M,2,7,31
8058177093,2021-11-14,17:39:54,2021-12-21,22:45:34,2021-09-05,845,Domestic Violence,946,Murder,ATTEMPTED,FELONY,West Bengal Police,West Bengal,25,Outside,Public Transport,,,675356,769586,55.4396475,-86.356751,"27.8647145, -158.835457",West Bengal Zone,Kolkata Police Station,M,18-24,White,<18,White,M,7,13,43
4073757657,2023-06-28,17:30:25,2023-12-20,05:14:02,2021-02-26,903,Kidnapping,181,Domestic Violence,ATTEMPTED,MISDEMEANOR,Tamil Nadu Police,Tamil Nadu,9,Outside,Park,,,620509,975068,-73.1122665,-26.766880,"87.8920425, 105.108259",Tamil Nadu Zone,Madurai Police Station,F,65+,Black,25-44,Indian,F,3,17,58
8244781590,2020-04-16,00:34:10,2022-08-17,05:58:53,2021-08-02,611,Vehicle Theft,128,Domestic Violence,ATTEMPTED,VIOLATION,Rajasthan Police,Rajasthan,77,Outside,Commercial,,,995662,929422,-14.536660,53.781152,"49.0194455, -160.786563",Rajasthan Zone,Udaipur Police Station,F,<18,White,25-44,Indian,F,23,2,25
8923815199,2023-10-14,13:43:56,2022-01-25,23:11:00,2024-05-30,906,Vehicle Theft,951,Murder,ATTEMPTED,VIOLATION,Tamil Nadu Police,Tamil Nadu,36,Inside,Park,,,771274,506155,22.4222675,-31.827084,"-52.732152, -146.386791",Tamil Nadu Zone,Coimbatore Police Station,F,25-44,Other Asian,18-24,Indian,M,12,19,6
6662391908,2024-05-03,23:33:29,2022-01-29,10:53:55,2023-07-09,483,Kidnapping,963,Fraud,ATTEMPTED,FELONY,Delhi Police,Delhi,20,Outside,Park,Dwarka,,909558,975269,16.1120155,72.867702,"57.0550145, 65.702802",Delhi Zone,Dwarka Police Station,F,18-24,Indian,18-24,Other Asian,F,12,2,125
